time_s,gt_id,gt_x,gt_y,gt_speed_mps,det_id,det_x,det_y,pos_error_m,det_speed_mps,n_gt,n_detected
1.1400,0,9.4000,0.0000,0.0000,,,,,,1,0
1.3100,0,9.4000,0.0000,0.0000,,,,,,1,0
1.4000,0,9.4000,0.0000,0.0000,,,,,,1,0
1.4900,0,9.4000,0.0000,0.0000,,,,,,1,0
1.5800,0,9.4000,0.0000,0.0000,,,,,,1,0
1.6700,0,9.4000,0.0000,0.0000,,,,,,1,0
1.7600,0,9.4000,0.0000,0.0000,,,,,,1,0
1.8500,0,9.4000,0.0000,0.0000,,,,,,1,0
1.9300,0,9.4000,0.0000,0.0000,,,,,,1,0
2.0100,0,9.4000,0.0000,0.0000,,,,,,1,0
2.1000,0,9.4000,0.0000,0.0000,,,,,,1,0
2.1800,0,9.4000,0.0000,0.0000,,,,,,1,0
2.2700,0,9.4000,0.0000,0.0000,,,,,,1,0
2.3600,0,9.4000,0.0000,0.0000,,,,,,1,0
2.4500,0,9.4000,0.0000,0.0000,,,,,,1,0
2.5300,0,9.4000,0.0000,0.0000,,,,,,1,0
2.6200,0,9.4000,0.0000,0.0000,,,,,,1,0
2.7000,0,9.4000,0.0000,0.0000,,,,,,1,0
2.7800,0,9.4000,0.0000,0.0000,,,,,,1,0
2.8700,0,9.4000,0.0000,0.0000,,,,,,1,0
2.9600,0,9.4000,0.0000,0.0000,,,,,,1,0
3.0400,0,9.4000,0.0000,0.0000,,,,,,1,0
3.1300,0,9.4000,0.0000,0.0000,,,,,,1,0
3.2100,0,9.4000,0.0000,0.0000,,,,,,1,0
3.2900,0,9.4000,0.0000,0.0000,,,,,,1,0
3.3900,0,9.4000,0.0000,0.0000,,,,,,1,0
3.4700,0,9.4000,0.0000,0.0000,,,,,,1,0
3.5500,0,9.4000,0.0000,0.0000,,,,,,1,0
3.6300,0,9.4000,0.0000,0.0000,,,,,,1,0
3.7200,0,9.4000,0.0000,0.0000,,,,,,1,0
3.8100,0,9.4000,0.0000,0.0000,,,,,,1,0
3.8900,0,9.4000,0.0000,0.0000,,,,,,1,0
3.9700,0,9.4000,0.0000,0.0000,,,,,,1,0
4.0600,0,9.4000,0.0000,0.0000,,,,,,1,0
4.1400,0,9.4000,0.0000,0.0000,,,,,,1,0
4.2300,0,9.4000,0.0000,0.0000,,,,,,1,0
4.3100,0,9.4000,0.0000,0.0000,,,,,,1,0
4.4000,0,9.4000,0.0000,0.0000,,,,,,1,0
4.4800,0,9.4000,0.0000,0.0000,,,,,,1,0
4.5700,0,9.4000,0.0000,0.0000,,,,,,1,0
4.6500,0,9.4000,0.0000,0.0000,,,,,,1,0
4.7300,0,9.4000,0.0000,0.0000,,,,,,1,0
4.8200,0,9.4000,0.0000,0.0000,,,,,,1,0
4.9200,0,9.4000,0.0000,0.0000,,,,,,1,0
5.0100,0,9.4000,0.0000,0.0000,,,,,,1,0
5.1000,0,9.4000,0.0000,0.0000,,,,,,1,0
5.1800,0,9.4000,0.0000,0.0000,,,,,,1,0
5.2800,0,9.4000,0.0000,0.0000,,,,,,1,0
5.3600,0,9.4000,0.0000,0.0000,,,,,,1,0
5.4400,0,9.4000,0.0000,0.0000,,,,,,1,0
5.5100,0,9.4000,0.0000,0.0000,,,,,,1,0
5.5900,0,9.4000,0.0000,0.0000,,,,,,1,0
5.6700,0,9.4000,0.0000,0.0000,,,,,,1,0
5.7500,0,9.4000,0.0000,0.0000,,,,,,1,0
