time_s,gt_id,gt_x,gt_y,gt_speed_mps,det_id,det_x,det_y,pos_error_m,det_speed_mps,n_gt,n_detected
1.2300,0,3.4000,-5.7600,1.2000,,,,,,1,0
1.3800,0,3.4000,-5.7600,1.2000,,,,,,1,0
1.4800,0,3.4000,-5.6400,1.2000,,,,,,1,0
1.5700,0,3.4000,-5.4000,1.2000,,,,,,1,0
1.6600,0,3.4000,-5.4000,1.2000,,,,,,1,0
1.7600,0,3.4000,-5.2800,1.2000,,,,,,1,0
1.8500,0,3.4000,-5.1600,1.2000,,,,,,1,0
1.9400,0,3.4000,-5.0400,1.2000,,,,,,1,0
2.0400,0,3.4000,-4.9200,1.2000,,,,,,1,0
2.1300,0,3.4000,-4.8000,1.2000,,,,,,1,0
2.2100,0,3.4000,-4.6800,1.2000,,,,,,1,0
2.3000,0,3.4000,-4.5600,1.2000,,,,,,1,0
2.3900,0,3.4000,-4.4400,1.2000,,,,,,1,0
2.4900,0,3.4000,-4.4400,1.2000,,,,,,1,0
2.5700,0,3.4000,-4.3200,1.2000,,,,,,1,0
2.6500,0,3.4000,-4.2000,1.2000,,,,,,1,0
2.7400,0,3.4000,-4.0800,1.2000,,,,,,1,0
2.8300,0,3.4000,-3.9600,1.2000,,,,,,1,0
2.9200,0,3.4000,-3.8400,1.2000,,,,,,1,0
3.0100,0,3.4000,-3.7200,1.2000,,,,,,1,0
3.1000,0,3.4000,-3.6000,1.2000,,,,,,1,0
3.1800,0,3.4000,-3.4800,1.2000,,,,,,1,0
3.2700,0,3.4000,-3.4800,1.2000,,,,,,1,0
3.3600,0,3.4000,-3.3600,1.2000,,,,,,1,0
3.4500,0,3.4000,-3.2400,1.2000,,,,,,1,0
3.5300,0,3.4000,-3.1200,1.2000,,,,,,1,0
3.6200,0,3.4000,-3.0000,1.2000,,,,,,1,0
3.7100,0,3.4000,-2.8800,1.2000,,,,,,1,0
3.7900,0,3.4000,-2.7600,1.2000,,,,,,1,0
3.8800,0,3.4000,-2.7600,1.2000,,,,,,1,0
3.9600,0,3.4000,-2.6400,1.2000,,,,,,1,0
4.0400,0,3.4000,-2.5200,1.2000,,,,,,1,0
4.1300,0,3.4000,-2.4000,1.2000,,,,,,1,0
4.2100,0,3.4000,-2.2800,1.2000,,,,,,1,0
4.3000,0,3.4000,-2.1600,1.2000,,,,,,1,0
4.3800,0,3.4000,-2.1600,1.2000,,,,,,1,0
4.4600,0,3.4000,-2.0400,1.2000,,,,,,1,0
4.5500,0,3.4000,-1.9200,1.2000,,,,,,1,0
4.6400,0,3.4000,-1.8000,1.2000,,,,,,1,0
4.7300,0,3.4000,-1.6800,1.2000,,,,,,1,0
4.8100,0,3.4000,-1.4400,1.2000,,,,,,1,0
4.8900,0,3.4000,-1.4400,1.2000,,,,,,1,0
4.9700,0,3.4000,-1.4400,1.2000,,,,,,1,0
5.0600,0,3.4000,-1.3200,1.2000,,,,,,1,0
5.1500,0,3.4000,-1.2000,1.2000,0,3.6739,-1.4144,0.3478,0.0000,1,1
5.2500,0,3.4000,-1.0800,1.2000,0,3.6811,-1.3166,0.3675,0.0000,1,1
5.3500,0,3.4000,-0.9600,1.2000,0,3.7379,-1.1773,0.4017,0.0000,1,1
5.4500,0,3.4000,-0.8400,1.2000,0,3.7573,-1.0150,0.3978,0.0000,1,1
5.5500,0,3.4000,-0.7200,1.2000,0,3.7923,-0.8267,0.4066,0.7329,1,1
5.6600,0,3.4000,-0.6000,1.2000,0,3.7734,-0.6431,0.3759,1.1109,1,1
5.7900,0,3.4000,-0.4800,1.2000,0,3.7868,-0.4413,0.3887,1.3075,1,1
5.9000,0,3.4000,-0.3600,1.2000,0,3.8014,-0.2435,0.4179,1.4214,1,1
6.0300,0,3.4000,-0.2400,1.2000,0,3.7921,-0.0392,0.4405,1.4860,1,1
6.1400,0,3.4000,-0.1200,1.2000,0,3.7730,0.1442,0.4571,1.5246,1,1
6.2600,0,3.4000,0.0000,1.2000,0,3.7622,0.3673,0.5158,1.5541,1,1
6.3800,0,3.4000,0.1200,1.2000,0,3.7385,0.5486,0.5461,1.5732,1,1
6.5100,0,3.4000,0.2400,1.2000,0,3.7255,0.7701,0.6220,1.5874,1,1
6.6300,0,3.4000,0.3600,1.2000,0,3.7077,0.9352,0.6524,1.5940,1,1
6.7500,0,3.4000,0.8400,1.2000,0,3.6994,1.0937,0.3924,1.6040,1,1
6.8800,0,3.4000,0.8400,1.2000,0,3.6989,1.3022,0.5504,1.6040,1,1
7.0100,0,3.4000,0.9600,1.2000,0,3.6984,1.5107,0.6264,1.6040,1,1
7.1500,0,3.4000,1.0800,1.2000,0,3.6979,1.7353,0.7198,1.6040,1,1
7.2700,0,3.4000,1.2000,1.2000,0,3.6974,1.9278,0.7862,1.6040,1,1
7.4000,0,3.4000,1.3200,1.2000,0,3.6969,2.1363,0.8686,1.6040,1,1
7.5200,0,3.4000,1.4400,1.2000,0,3.6965,2.3288,0.9369,1.6040,1,1
7.6500,0,3.4000,1.5600,1.2000,,,,,,1,0
7.7400,0,3.4000,1.6800,1.2000,,,,,,1,0
7.8300,0,3.4000,1.8000,1.2000,,,,,,1,0
7.9300,0,3.4000,1.9200,1.2000,,,,,,1,0
8.0100,0,3.4000,2.0400,1.2000,,,,,,1,0
8.1000,0,3.4000,2.1600,1.2000,,,,,,1,0
8.1900,0,3.4000,2.2800,1.2000,,,,,,1,0
8.2800,0,3.4000,2.4000,1.2000,,,,,,1,0
8.3700,0,3.4000,2.5200,1.2000,,,,,,1,0
8.4600,0,3.4000,2.8800,1.2000,,,,,,1,0
8.5500,0,3.4000,2.8800,1.2000,,,,,,1,0
8.6400,0,3.4000,3.0000,1.2000,,,,,,1,0
8.7200,0,3.4000,3.1200,1.2000,,,,,,1,0
8.8100,0,3.4000,3.2400,1.2000,,,,,,1,0
8.9000,0,3.4000,3.3600,1.2000,,,,,,1,0
8.9800,0,3.4000,3.3600,1.2000,,,,,,1,0
9.0700,0,3.4000,3.4800,1.2000,,,,,,1,0
9.1600,0,3.4000,3.6000,1.2000,,,,,,1,0
9.2500,0,3.4000,3.7200,1.2000,,,,,,1,0
9.3300,0,3.4000,3.8400,1.2000,,,,,,1,0
9.4200,0,3.4000,3.9600,1.2000,,,,,,1,0
9.5000,0,3.4000,4.0800,1.2000,,,,,,1,0
9.5900,0,3.4000,4.2000,1.2000,,,,,,1,0
9.6800,0,3.4000,4.2000,1.2000,,,,,,1,0
9.7700,0,3.4000,4.3200,1.2000,,,,,,1,0
9.8600,0,3.4000,4.4400,1.2000,,,,,,1,0
9.9400,0,3.4000,4.5600,1.2000,,,,,,1,0
10.0200,0,3.4000,4.6800,1.2000,,,,,,1,0
10.1100,0,3.4000,4.8000,1.2000,,,,,,1,0
10.1900,0,3.4000,4.9200,1.2000,,,,,,1,0
10.2800,0,3.4000,4.9200,1.2000,,,,,,1,0
10.3800,0,3.4000,5.0400,1.2000,,,,,,1,0
10.4600,0,3.4000,5.1600,1.2000,,,,,,1,0
10.5500,0,3.4000,5.2800,1.2000,,,,,,1,0
10.6400,0,3.4000,5.4000,1.2000,,,,,,1,0
10.7300,0,3.4000,5.5200,1.2000,,,,,,1,0
10.8200,0,3.4000,5.6400,1.2000,,,,,,1,0
10.9000,0,3.4000,5.7600,1.2000,,,,,,1,0
10.9900,0,3.4000,5.8800,1.2000,,,,,,1,0
11.0800,0,3.4000,5.8800,1.2000,,,,,,1,0
11.1700,0,3.4000,6.0000,0.0000,,,,,,1,0
11.2600,0,3.4000,6.0000,0.0000,,,,,,1,0
11.3400,0,3.4000,6.0000,0.0000,,,,,,1,0
11.4200,0,3.4000,6.0000,0.0000,,,,,,1,0
11.5000,0,3.4000,6.0000,0.0000,,,,,,1,0
11.5900,0,3.4000,6.0000,0.0000,,,,,,1,0
11.6800,0,3.4000,6.0000,0.0000,,,,,,1,0
11.7600,0,3.4000,6.0000,0.0000,,,,,,1,0
11.8500,0,3.4000,6.0000,0.0000,,,,,,1,0
11.9400,0,3.4000,5.9400,1.2000,,,,,,1,0
12.0300,0,3.4000,5.8200,1.2000,,,,,,1,0
12.1100,0,3.4000,5.7000,1.2000,,,,,,1,0
12.2000,0,3.4000,5.5800,1.2000,,,,,,1,0
12.2800,0,3.4000,5.5800,1.2000,,,,,,1,0
12.3600,0,3.4000,5.4600,1.2000,,,,,,1,0
12.4500,0,3.4000,5.3400,1.2000,,,,,,1,0
12.5400,0,3.4000,5.2200,1.2000,,,,,,1,0
12.6300,0,3.4000,5.1000,1.2000,,,,,,1,0
12.7300,0,3.4000,4.8600,1.2000,,,,,,1,0
12.8200,0,3.4000,4.7400,1.2000,,,,,,1,0
12.9200,0,3.4000,4.6200,1.2000,,,,,,1,0
13.0000,0,3.4000,4.6200,1.2000,,,,,,1,0
13.0900,0,3.4000,4.5000,1.2000,,,,,,1,0
13.1800,0,3.4000,4.3800,1.2000,,,,,,1,0
13.2700,0,3.4000,4.3800,1.2000,,,,,,1,0
13.3600,0,3.4000,4.2600,1.2000,,,,,,1,0
13.4500,0,3.4000,4.1400,1.2000,,,,,,1,0
13.5400,0,3.4000,4.0200,1.2000,,,,,,1,0
13.6300,0,3.4000,3.9000,1.2000,,,,,,1,0
13.7200,0,3.4000,3.7800,1.2000,,,,,,1,0
13.8100,0,3.4000,3.6600,1.2000,,,,,,1,0
13.8900,0,3.4000,3.5400,1.2000,,,,,,1,0
13.9900,0,3.4000,3.5400,1.2000,,,,,,1,0
14.0800,0,3.4000,3.4200,1.2000,,,,,,1,0
14.1700,0,3.4000,3.3000,1.2000,,,,,,1,0
14.2600,0,3.4000,3.1800,1.2000,,,,,,1,0
14.3500,0,3.4000,3.0600,1.2000,,,,,,1,0
14.4500,0,3.4000,2.9400,1.2000,,,,,,1,0
14.5400,0,3.4000,2.8200,1.2000,,,,,,1,0
14.6300,0,3.4000,2.7000,1.2000,,,,,,1,0
14.7200,0,3.4000,2.5800,1.2000,,,,,,1,0
14.8100,0,3.4000,2.4600,1.2000,,,,,,1,0
14.9000,0,3.4000,2.3400,1.2000,,,,,,1,0
14.9800,0,3.4000,2.3400,1.2000,,,,,,1,0
15.0700,0,3.4000,2.2200,1.2000,,,,,,1,0
15.1600,0,3.4000,2.1000,1.2000,,,,,,1,0
15.2600,0,3.4000,1.9800,1.2000,,,,,,1,0
15.3400,0,3.4000,1.8600,1.2000,,,,,,1,0
15.4400,0,3.4000,1.7400,1.2000,,,,,,1,0
15.5300,0,3.4000,1.6200,1.2000,,,,,,1,0
15.6300,0,3.4000,1.5000,1.2000,,,,,,1,0
15.7200,0,3.4000,1.3800,1.2000,,,,,,1,0
15.8000,0,3.4000,1.2600,1.2000,,,,,,1,0
15.8900,0,3.4000,1.1400,1.2000,,,,,,1,0
15.9900,0,3.4000,1.1400,1.2000,0,3.6912,1.3031,0.3337,0.0000,1,1
16.1000,0,3.4000,1.0200,1.2000,0,3.6866,1.2273,0.3537,0.0000,1,1
16.2100,0,3.4000,0.9000,1.2000,0,3.6758,1.1098,0.3465,0.0000,1,1
16.3200,0,3.4000,0.7800,1.2000,0,3.6765,0.9392,0.3190,0.0000,1,1
16.4200,0,3.4000,0.6600,1.2000,0,3.6775,0.7590,0.2947,0.6274,1,1
16.5400,0,3.4000,0.5400,1.2000,0,3.7032,0.5667,0.3043,0.9902,1,1
16.6600,0,3.4000,0.4200,1.2000,0,3.7148,0.3782,0.3176,1.1988,1,1
16.7800,0,3.4000,0.3000,1.2000,0,3.6944,0.1701,0.3217,1.3277,1,1
16.9100,0,3.4000,0.1800,1.2000,0,3.6917,-0.0678,0.3828,1.4173,1,1
17.0400,0,3.4000,0.0600,1.2000,0,3.6729,-0.3102,0.4599,1.4852,1,1
17.1500,0,3.4000,-0.0600,1.2000,0,3.6241,-0.5236,0.5149,1.5392,1,1
17.2800,0,3.4000,-0.1800,1.2000,0,3.5929,-0.7286,0.5815,1.5775,1,1
17.4100,0,3.4000,-0.3000,1.2000,0,3.4276,-0.8758,0.5764,1.5952,1,1
17.5400,0,3.4000,-0.4200,1.2000,0,3.3169,-1.0412,0.6267,1.6157,1,1
17.6800,0,3.4000,-0.5400,1.2000,0,3.2992,-1.2667,0.7337,1.6157,1,1
17.8100,0,3.4000,-0.6600,1.2000,0,3.2828,-1.4761,0.8245,1.6157,1,1
17.9400,0,3.4000,-0.7800,1.2000,0,3.2664,-1.6855,0.9153,1.6157,1,1
