time_s,x,y,yaw_rad,vx,vy,omega,goal_x,goal_y,replan_ms,n_polygons,seg_len_m,min_obs_dist_m,path_len_m,lookahead_dist
21.0000,11.4261,2.1931,-0.0411,0.0000,0.0000,0.0000,3.9000,1.3429,87.85,10,4.5458,1.6702,0.0000,5.00
21.0000,11.5395,2.1926,-0.0400,0.0000,0.0000,0.0000,3.9000,1.3429,87.92,10,4.9988,1.6801,0.1133,5.00
21.0900,11.5678,2.1926,-0.0399,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.1416,5.00
21.0900,11.5961,2.1926,-0.0398,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.1700,5.00
21.0900,11.6245,2.1925,-0.0397,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.1983,5.00
21.0900,11.6528,2.1925,-0.0397,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.2266,5.00
21.0900,11.6811,2.1925,-0.0396,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.2550,5.00
21.0900,11.7094,2.1925,-0.0396,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.2833,5.00
21.0900,11.7378,2.1925,-0.0396,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.3116,5.00
21.0900,11.7661,2.1925,-0.0396,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.3400,5.00
21.0900,11.7944,2.1925,-0.0396,0.3146,0.0119,0.0016,3.9000,1.3429,87.92,10,4.9988,1.6801,0.3683,5.00
21.1900,11.8228,2.1925,-0.0396,0.2831,0.0112,-0.0000,3.9000,1.3429,97.40,10,4.5444,1.6791,0.3966,5.00
21.1900,11.7948,2.1917,-0.0391,0.2831,0.0112,-0.0000,3.9000,1.3429,97.40,10,4.5444,1.6791,0.4247,5.00
21.1900,11.7668,2.1909,-0.0391,0.2831,0.0112,-0.0000,3.9000,1.3429,97.40,10,4.5444,1.6791,0.4527,5.00
21.1900,11.7388,2.1901,-0.0395,0.2831,0.0112,-0.0000,3.9000,1.3429,97.40,10,4.5444,1.6791,0.4807,5.00
21.1900,11.7107,2.1893,-0.0401,0.2831,0.0112,-0.0000,3.9000,1.3429,97.40,10,4.5444,1.6791,0.5088,5.00
21.2800,11.6824,2.1886,-0.0408,-0.3134,-0.0211,-0.0075,3.9000,1.3429,86.86,10,4.6959,1.6801,0.5370,5.00
21.2800,11.6541,2.1886,-0.0408,-0.3134,-0.0211,-0.0075,3.9000,1.3429,86.86,10,4.6959,1.6801,0.5654,5.00
21.2900,11.6258,2.1886,-0.0408,-2.8314,-0.1156,-0.0000,3.9000,1.3429,86.86,10,4.6959,1.6801,0.5937,5.00
21.2900,11.5974,2.1886,-0.0408,-2.8314,-0.1156,-0.0000,3.9000,1.3429,86.86,10,4.6959,1.6801,0.6221,5.00
21.2900,11.5691,2.1886,-0.0408,-2.8314,-0.1156,-0.0000,3.9000,1.3429,86.86,10,4.6959,1.6801,0.6504,5.00
21.3900,11.5407,2.1886,-0.0408,-0.2831,-0.0116,-0.0000,3.9000,1.3429,98.59,13,4.8474,1.6795,0.6787,5.00
21.3900,11.5124,2.1886,-0.0408,-0.2831,-0.0116,-0.0000,3.9000,1.3429,98.59,13,4.8474,1.6795,0.7071,5.00
21.3900,11.4841,2.1886,-0.0408,-0.2831,-0.0116,-0.0000,3.9000,1.3429,98.59,13,4.8474,1.6795,0.7354,5.00
