time_s,x,y,yaw_rad,vx,vy,omega,goal_x,goal_y,replan_ms,n_polygons,seg_len_m,min_obs_dist_m,path_len_m,lookahead_dist
13.5500,10.7488,-0.4077,-0.9302,0.0000,0.0000,0.0000,7.8714,1.8000,51.64,5,3.6055,6.0284,0.0000,5.00
13.5500,10.7776,-0.4052,-0.9307,0.0000,0.0000,0.0000,7.8714,1.8000,51.64,5,3.6055,6.0284,0.0289,5.00
13.5500,10.8064,-0.4027,-0.9312,0.0000,0.0000,0.0000,7.8714,1.8000,51.64,5,3.6055,6.0284,0.0578,5.00
13.5600,10.8352,-0.4001,-0.9317,1.5156,2.4599,-0.0511,7.8714,1.8000,51.64,5,3.6055,6.0284,0.0867,5.00
13.5800,10.8130,-0.3834,-0.9317,-1.3318,-0.3916,0.0024,7.8714,1.8000,51.64,5,3.6055,6.0284,0.1144,5.00
13.6400,10.7908,-0.3667,-0.9317,-0.4439,-0.1306,-0.0007,7.8714,1.8000,42.87,4,3.6055,5.9775,0.1422,5.00
13.6400,10.7686,-0.3500,-0.9318,-0.4439,-0.1306,-0.0007,7.8714,1.8000,42.87,4,3.6055,5.9775,0.1700,5.00
13.6400,10.7463,-0.3331,-0.9320,-0.4439,-0.1306,-0.0007,7.8714,1.8000,42.87,4,3.6055,5.9775,0.1980,5.00
13.6600,10.7235,-0.3167,-0.9321,-1.3388,-0.4291,-0.0066,7.8714,1.8000,42.87,4,3.6055,5.9775,0.2261,5.00
13.6800,10.7002,-0.3010,-0.9322,-1.3269,-0.4664,-0.0065,7.8714,1.8000,42.87,4,3.6055,5.9775,0.2543,5.00
13.7400,10.6768,-0.2852,-0.9324,-0.4423,-0.1555,-0.0022,7.8714,1.8000,43.92,5,3.5334,6.1135,0.2824,5.00
13.7400,10.6535,-0.2695,-0.9325,-0.4423,-0.1555,-0.0022,7.8714,1.8000,43.92,5,3.5334,6.1135,0.3105,5.00
13.7400,10.6302,-0.2537,-0.9326,-0.4423,-0.1555,-0.0022,7.8714,1.8000,43.92,5,3.5334,6.1135,0.3386,5.00
13.7600,10.6070,-0.2378,-0.9327,-1.3289,-0.4588,-0.0065,7.8714,1.8000,43.92,5,3.5334,6.1135,0.3668,5.00
13.7800,10.5839,-0.2218,-0.9329,-1.3316,-0.4512,-0.0066,7.8714,1.8000,43.92,5,3.5334,6.1135,0.3949,5.00
13.8300,10.5608,-0.2058,-0.9330,-0.5326,-0.1805,-0.0026,7.8714,1.8000,33.47,4,3.3892,6.1957,0.4230,5.00
13.8300,10.5377,-0.1897,-0.9331,-0.5326,-0.1805,-0.0026,7.8714,1.8000,33.47,4,3.3892,6.1957,0.4511,5.00
13.8400,10.5146,-0.1737,-0.9333,-2.6632,-0.9023,-0.0132,7.8714,1.8000,33.47,4,3.3892,6.1957,0.4792,5.00
13.8600,10.4917,-0.1574,-0.9334,-1.3363,-0.4350,-0.0066,7.8714,1.8000,33.47,4,3.3892,6.1957,0.5073,5.00
13.8800,10.4688,-0.1411,-0.9335,-1.3365,-0.4350,-0.0066,7.8714,1.8000,33.47,4,3.3892,6.1957,0.5354,5.00
13.9300,10.4459,-0.1248,-0.9337,-0.5346,-0.1740,-0.0027,7.8714,1.8000,34.25,4,3.2450,6.2748,0.5636,5.00
13.9300,10.4230,-0.1085,-0.9338,-0.5346,-0.1740,-0.0027,7.8714,1.8000,34.25,4,3.2450,6.2748,0.5917,5.00
13.9400,10.4002,-0.0922,-0.9339,-2.6730,-0.8700,-0.0133,7.8714,1.8000,34.25,4,3.2450,6.2748,0.6198,5.00
13.9600,10.3773,-0.0757,-0.9341,-1.3383,-0.4286,-0.0067,7.8714,1.8000,34.25,4,3.2450,6.2748,0.6479,5.00
13.9800,10.3545,-0.0593,-0.9342,-1.3384,-0.4286,-0.0067,7.8714,1.8000,34.25,4,3.2450,6.2748,0.6760,5.00
14.0300,10.3317,-0.0429,-0.9343,-0.5354,-0.1714,-0.0027,7.8714,1.8000,34.29,3,3.1008,6.3780,0.7041,5.00
14.0300,10.3089,-0.0264,-0.9345,-0.5354,-0.1714,-0.0027,7.8714,1.8000,34.29,3,3.1008,6.3780,0.7322,5.00
14.0400,10.2861,-0.0100,-0.9346,-2.6769,-0.8572,-0.0134,7.8714,1.8000,34.29,3,3.1008,6.3780,0.7603,5.00
14.0600,10.2634,0.0065,-0.9347,-1.3394,-0.4250,-0.0067,7.8714,1.8000,34.29,3,3.1008,6.3780,0.7884,5.00
14.0800,10.2406,0.0230,-0.9349,-1.3395,-0.4250,-0.0067,7.8714,1.8000,34.29,3,3.1008,6.3780,0.8165,5.00
14.1300,10.2179,0.0395,-0.9350,-0.5358,-0.1700,-0.0027,7.8714,1.8000,33.37,3,2.9565,6.4923,0.8446,5.00
14.1300,10.1951,0.0560,-0.9351,-0.5358,-0.1700,-0.0027,7.8714,1.8000,33.37,3,2.9565,6.4923,0.8727,5.00
14.1400,10.1724,0.0725,-0.9353,-2.6790,-0.8499,-0.0134,7.8714,1.8000,33.37,3,2.9565,6.4923,0.9008,5.00
14.1600,10.1497,0.0891,-0.9354,-1.3398,-0.4238,-0.0067,7.8714,1.8000,33.37,3,2.9565,6.4923,0.9289,5.00
14.1800,10.1270,0.1056,-0.9355,-1.3398,-0.4238,-0.0067,7.8714,1.8000,33.37,3,2.9565,6.4923,0.9571,5.00
14.2300,10.1042,0.1222,-0.9357,-0.5359,-0.1695,-0.0027,7.8714,1.8000,35.95,3,2.8123,6.6440,0.9852,5.00
14.2300,10.0815,0.1387,-0.9358,-0.5359,-0.1695,-0.0027,7.8714,1.8000,35.95,3,2.8123,6.6440,1.0133,5.00
14.2400,10.0588,0.1552,-0.9359,-2.6796,-0.8476,-0.0135,7.8714,1.8000,35.95,3,2.8123,6.6440,1.0414,5.00
14.2600,10.0361,0.1718,-0.9361,-1.3399,-0.4234,-0.0068,7.8714,1.8000,35.95,3,2.8123,6.6440,1.0695,5.00
14.2800,10.0134,0.1884,-0.9362,-1.3399,-0.4234,-0.0068,7.8714,1.8000,35.95,3,2.8123,6.6440,1.0976,5.00
14.3300,9.9907,0.2049,-0.9364,-0.5360,-0.1694,-0.0027,7.8714,1.8000,37.94,3,2.6681,6.7206,1.1257,5.00
14.3400,9.9680,0.2215,-0.9365,-2.6799,-0.8468,-0.0135,7.8714,1.8000,37.94,3,2.6681,6.7206,1.1538,5.00
14.3400,9.9453,0.2381,-0.9366,-2.6799,-0.8468,-0.0135,7.8714,1.8000,37.94,3,2.6681,6.7206,1.1819,5.00
14.3600,9.9226,0.2547,-0.9368,-1.3401,-0.4229,-0.0068,7.8714,1.8000,37.94,3,2.6681,6.7206,1.2100,5.00
14.3800,9.8999,0.2712,-0.9369,-1.3402,-0.4225,-0.0068,7.8714,1.8000,37.94,3,2.6681,6.7206,1.2381,5.00
14.4300,9.8772,0.2878,-0.9370,-0.5361,-0.1690,-0.0027,7.8714,1.8000,34.33,3,2.5239,6.8202,1.2662,5.00
14.4300,9.8545,0.3044,-0.9372,-0.5361,-0.1690,-0.0027,7.8714,1.8000,34.33,3,2.5239,6.8202,1.2943,5.00
14.4400,9.8319,0.3210,-0.9373,-2.6804,-0.8450,-0.0136,7.8714,1.8000,34.33,3,2.5239,6.8202,1.3224,5.00
14.4600,9.8092,0.3376,-0.9374,-1.3399,-0.4235,-0.0068,7.8714,1.8000,34.33,3,2.5239,6.8202,1.3505,5.00
14.4800,9.7865,0.3542,-0.9376,-1.3399,-0.4235,-0.0068,7.8714,1.8000,34.33,3,2.5239,6.8202,1.3786,5.00
14.5300,9.7638,0.3708,-0.9377,-0.5360,-0.1694,-0.0027,7.8714,1.8000,29.98,3,2.3797,6.9700,1.4067,5.00
14.5300,9.7411,0.3874,-0.9378,-0.5360,-0.1694,-0.0027,7.8714,1.8000,29.98,3,2.3797,6.9700,1.4348,5.00
14.5400,9.7184,0.4040,-0.9380,-2.6798,-0.8469,-0.0137,7.8714,1.8000,29.98,3,2.3797,6.9700,1.4629,5.00
14.5600,9.6958,0.4206,-0.9381,-1.3400,-0.4231,-0.0068,7.8714,1.8000,29.98,3,2.3797,6.9700,1.4910,5.00
14.5800,9.6731,0.4372,-0.9383,-1.3400,-0.4231,-0.0069,7.8714,1.8000,29.98,3,2.3797,6.9700,1.5191,5.00
14.6300,9.6504,0.4538,-0.9384,-0.5360,-0.1692,-0.0027,7.8714,1.8000,31.04,3,2.2354,7.0926,1.5472,5.00
14.6300,9.6278,0.4705,-0.9385,-0.5360,-0.1692,-0.0027,7.8714,1.8000,31.04,3,2.2354,7.0926,1.5754,5.00
14.6400,9.6051,0.4871,-0.9387,-2.6800,-0.8462,-0.0137,7.8714,1.8000,31.04,3,2.2354,7.0926,1.6035,5.00
14.6600,9.5825,0.5037,-0.9388,-1.3404,-0.4218,-0.0069,7.8714,1.8000,31.04,3,2.2354,7.0926,1.6316,5.00
14.6800,9.5598,0.5204,-0.9389,-1.3404,-0.4218,-0.0069,7.8714,1.8000,31.04,3,2.2354,7.0926,1.6597,5.00
