world,goal_x,goal_y,start_x,start_y,straight_line_m,path_length_m,travel_time_s,final_pos_error_m,goal_reached
crossing_humans,0.9286,0.4571,1.4639,-0.1262,0.7918,0.9547,1.23,0.3716,1
crossing_humans,5.2429,-7.2857,1.2021,0.2432,8.5447,4.0761,3.22,4.9939,0
crossing_humans,4.8429,1.4286,3.4907,-2.6093,4.2583,3.9018,2.83,0.6529,0
crossing_humans,15.9286,2.1714,4.6518,0.8043,11.3593,6.9980,5.30,4.5308,0
crossing_humans,3.9000,1.3429,11.3978,2.1933,7.5459,4.3345,2.93,4.0738,0
crossing_humans,1.3286,3.0286,7.8850,2.1887,6.6100,6.1924,4.99,0.3924,1
crossing_humans,11.5286,-2.1714,1.6905,2.9522,11.0923,4.2608,3.38,7.1936,0
crossing_humans,2.7286,3.0857,5.8587,2.2558,3.2383,1.8422,1.26,2.0127,0
crossing_humans,11.7000,-3.4571,4.6809,2.5966,9.2690,6.5227,4.64,3.2145,0
crossing_humans,7.8714,0.2286,9.3777,-1.2346,2.0999,2.0187,1.89,0.4538,0
crossing_humans,5.3286,2.6000,8.2030,-0.0812,3.9308,3.5512,3.22,0.3707,1
crossing_humans,1.4143,0.2571,5.5895,2.3620,4.6758,3.2982,2.57,1.3779,0
crossing_humans,1.0143,-1.9143,2.6349,0.8965,3.2445,2.8786,2.69,0.3691,1
