time_s,x,y,yaw_rad,vx,vy,omega,goal_x,goal_y,replan_ms,n_polygons,seg_len_m,min_obs_dist_m,path_len_m,lookahead_dist
48.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,7,0.0000,2.7750,0.0000,15.00
48.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,7,0.0000,2.7750,0.0000,15.00
48.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,7,0.0000,2.7750,0.0000,15.00
48.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,7,0.0000,2.7750,0.0000,15.00
49.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,117.84,6,15.0000,2.7750,0.0000,15.00
49.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,118.69,7,15.0000,2.7750,0.0000,15.00
49.1400,0.0421,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,110.26,6,15.0000,2.7750,0.0421,15.00
49.2500,0.0701,0.0000,0.0000,0.2552,-0.0000,-0.0000,15.0000,0.0000,110.26,6,15.0000,2.7750,0.0701,15.00
49.2500,0.2401,0.0000,0.0000,0.2552,-0.0000,-0.0000,15.0000,0.0000,133.87,7,15.0000,2.8551,0.2401,15.00
49.3800,0.2684,0.0000,0.0000,0.2180,-0.0000,-0.0000,15.0000,0.0000,133.87,7,15.0000,2.8551,0.2684,15.00
49.3800,0.4101,0.0000,0.0000,0.2180,-0.0000,-0.0000,15.0000,0.0000,116.62,7,14.7000,3.0616,0.4101,15.00
49.5000,0.4385,0.0000,0.0000,0.2362,-0.0000,0.0000,15.0000,0.0000,116.62,7,14.7000,3.0616,0.4385,15.00
49.5000,0.5801,0.0000,0.0000,0.2362,-0.0000,0.0000,15.0000,0.0000,132.32,8,14.7000,3.2400,0.5801,15.00
49.7700,0.7925,-0.0036,-0.0037,0.7866,-0.0104,-0.0138,15.0000,0.0000,133.90,8,14.4000,3.3817,0.7925,15.00
49.7700,0.9830,-0.0469,-0.0448,0.7866,-0.0104,-0.0138,15.0000,0.0000,135.38,8,14.1000,3.5477,0.9879,15.00
49.9000,1.0091,-0.0575,-0.0543,0.2051,-0.0707,-0.0734,15.0000,0.0000,135.38,8,14.1000,3.5477,1.0160,15.00
49.9000,1.1299,-0.1290,-0.1180,0.2051,-0.0707,-0.0734,15.0000,0.0000,131.12,8,14.1000,3.3727,1.1564,15.00
50.1600,1.2728,-0.2650,-0.2342,0.6560,-0.3813,-0.4468,15.0000,0.0000,122.99,7,13.8000,3.2294,1.3537,15.00
50.1600,1.4032,-0.4502,-0.3808,0.6560,-0.3813,-0.4468,15.0000,0.0000,159.91,8,13.8000,3.0985,1.5802,15.00
50.3200,1.4175,-0.4747,-0.3992,0.1418,-0.1064,-0.1149,15.0000,0.0000,159.91,8,13.8000,3.0985,1.6086,15.00
50.3200,1.5032,-0.6213,-0.4990,0.1418,-0.1064,-0.1149,15.0000,0.0000,149.40,9,13.5000,2.9717,1.7784,15.00
50.4700,1.5162,-0.6464,-0.5155,0.1580,-0.1035,-0.1099,15.0000,0.0000,149.40,9,13.5000,2.9717,1.8067,15.00
50.4700,1.5868,-0.7685,-0.5847,0.1580,-0.1035,-0.1099,15.0000,0.0000,113.99,7,13.5000,2.8655,1.9477,15.00
50.5900,1.6009,-0.7929,-0.5974,0.2119,-0.1019,-0.1058,15.0000,0.0000,113.99,7,13.5000,2.8655,1.9759,15.00
50.5900,1.6591,-0.8889,-0.6425,0.2119,-0.1019,-0.1058,15.0000,0.0000,96.61,6,13.5000,2.7832,2.0881,15.00
50.6900,1.6768,-0.9107,-0.6493,0.2726,-0.0671,-0.0682,15.0000,0.0000,96.61,6,13.5000,2.7832,2.1162,15.00
50.6900,1.7656,-1.0191,-0.6798,0.2726,-0.0671,-0.0682,15.0000,0.0000,130.37,9,13.2000,2.6941,2.2563,15.00
50.8200,1.7854,-1.0389,-0.6828,0.2144,-0.0227,-0.0230,15.0000,0.0000,130.37,9,13.2000,2.6941,2.2844,15.00
