time_s,x,y,yaw_rad,vx,vy,omega,goal_x,goal_y,replan_ms,n_polygons,seg_len_m,min_obs_dist_m,path_len_m,lookahead_dist
9.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,6,0.0000,2.7750,0.0000,5.00
9.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,6,0.0000,2.7750,0.0000,5.00
9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,50.43,7,4.8000,2.7750,0.0000,5.00
9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,50.43,7,4.8000,2.7750,0.0000,5.00
9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,50.43,7,4.8000,2.7750,0.0000,5.00
9.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,50.43,7,4.8000,2.7750,0.0000,5.00
9.2800,0.0280,0.0000,0.0000,1.4020,-0.0000,0.0000,15.0000,0.0000,50.43,7,4.8000,2.7750,0.0280,5.00
9.3500,0.0561,0.0000,0.0000,0.4006,-0.0000,-0.0000,15.0000,0.0000,53.35,7,4.8000,2.8030,0.0561,5.00
9.3500,0.0843,0.0000,-0.0000,0.4006,-0.0000,-0.0000,15.0000,0.0000,53.35,7,4.8000,2.8030,0.0843,5.00
9.3500,0.1126,0.0000,-0.0000,0.4006,-0.0000,-0.0000,15.0000,0.0000,53.35,7,4.8000,2.8030,0.1126,5.00
9.3600,0.1409,0.0000,-0.0000,2.8338,0.0000,-0.0000,15.0000,0.0000,53.35,7,4.8000,2.8030,0.1409,5.00
9.3800,0.1692,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,53.35,7,4.8000,2.8030,0.1692,5.00
9.4400,0.1976,0.0000,-0.0000,0.4723,0.0000,0.0000,15.0000,0.0000,43.65,6,4.8000,2.9381,0.1976,5.00
9.4400,0.2259,0.0000,-0.0000,0.4723,0.0000,0.0000,15.0000,0.0000,43.65,6,4.8000,2.9381,0.2259,5.00
9.4400,0.2542,0.0000,-0.0000,0.4723,0.0000,0.0000,15.0000,0.0000,43.65,6,4.8000,2.9381,0.2542,5.00
9.4600,0.2826,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,43.65,6,4.8000,2.9381,0.2826,5.00
9.4800,0.3109,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,43.65,6,4.8000,2.9381,0.3109,5.00
9.5600,0.3393,0.0000,-0.0000,0.3542,0.0000,-0.0000,15.0000,0.0000,63.13,8,4.8000,3.0884,0.3393,5.00
9.5600,0.3676,0.0000,-0.0000,0.3542,0.0000,-0.0000,15.0000,0.0000,63.13,8,4.8000,3.0884,0.3676,5.00
9.5600,0.3959,0.0000,-0.0000,0.3542,0.0000,-0.0000,15.0000,0.0000,63.13,8,4.8000,3.0884,0.3959,5.00
