time_s,x,y,yaw_rad,vx,vy,omega,goal_x,goal_y,replan_ms,n_polygons,seg_len_m,min_obs_dist_m,path_len_m,lookahead_dist
3.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,9,0.0000,2.7750,0.0000,5.00
3.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,9,0.0000,2.7750,0.0000,5.00
3.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,9,0.0000,2.7750,0.0000,5.00
3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,52.91,11,4.8000,2.7750,0.0000,5.00
3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,52.91,11,4.8000,2.7750,0.0000,5.00
3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,52.91,11,4.8000,2.7750,0.0000,5.00
3.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,52.91,11,4.8000,2.7750,0.0000,5.00
3.2900,0.0421,0.0000,0.0000,1.4020,0.0000,0.0000,15.0000,0.0000,52.91,11,4.8000,2.7750,0.0421,5.00
3.3500,0.0701,0.0000,0.0000,0.4678,-0.0000,0.0000,15.0000,0.0000,51.33,10,4.8000,2.8171,0.0701,5.00
3.3500,0.0984,0.0000,0.0000,0.4678,-0.0000,0.0000,15.0000,0.0000,51.33,10,4.8000,2.8171,0.0984,5.00
3.3500,0.1267,0.0000,0.0000,0.4678,-0.0000,0.0000,15.0000,0.0000,51.33,10,4.8000,2.8171,0.1267,5.00
3.3700,0.1551,0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,51.33,10,4.8000,2.8171,0.1551,5.00
3.3900,0.1834,0.0000,-0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,51.33,10,4.8000,2.8171,0.1834,5.00
3.4400,0.2117,-0.0000,0.0000,0.5668,-0.0000,0.0000,15.0000,0.0000,45.13,9,4.8000,2.9383,0.2117,5.00
3.4400,0.2401,0.0000,0.0000,0.5668,-0.0000,0.0000,15.0000,0.0000,45.13,9,4.8000,2.9383,0.2401,5.00
3.4500,0.2684,0.0000,-0.0000,2.8339,0.0000,-0.0000,15.0000,0.0000,45.13,9,4.8000,2.9383,0.2684,5.00
3.4700,0.2968,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,45.13,9,4.8000,2.9383,0.2968,5.00
3.4900,0.3251,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,45.13,9,4.8000,2.9383,0.3251,5.00
3.5400,0.3534,-0.0000,-0.0000,0.5668,0.0000,0.0000,15.0000,0.0000,38.79,7,4.8000,3.1167,0.3534,5.00
3.5400,0.3818,-0.0000,-0.0000,0.5668,0.0000,0.0000,15.0000,0.0000,38.79,7,4.8000,3.1167,0.3818,5.00
3.5500,0.4101,-0.0000,-0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,38.79,7,4.8000,3.1167,0.4101,5.00
3.5700,0.4385,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,38.79,7,4.8000,3.1167,0.4385,5.00
3.5900,0.4668,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,38.79,7,4.8000,3.1167,0.4668,5.00
3.6400,0.4951,-0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,39.68,7,4.8000,3.2667,0.4951,5.00
3.6400,0.5235,-0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,39.68,7,4.8000,3.2667,0.5235,5.00
3.6500,0.5518,-0.0000,-0.0000,2.8339,0.0000,0.0000,15.0000,0.0000,39.68,7,4.8000,3.2667,0.5518,5.00
3.6700,0.5801,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,39.68,7,4.8000,3.2667,0.5801,5.00
3.6900,0.6085,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,39.68,7,4.8000,3.2667,0.6085,5.00
3.7400,0.6368,0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,42.90,8,4.8000,3.4167,0.6368,5.00
3.7400,0.6652,0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,42.90,8,4.8000,3.4167,0.6652,5.00
3.7500,0.6935,0.0000,-0.0000,2.8339,0.0000,-0.0000,15.0000,0.0000,42.90,8,4.8000,3.4167,0.6935,5.00
3.7700,0.7218,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,42.90,8,4.8000,3.4167,0.7218,5.00
3.7900,0.7502,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,42.90,8,4.8000,3.4167,0.7502,5.00
3.8500,0.7785,0.0000,-0.0000,0.4723,0.0000,0.0000,15.0000,0.0000,53.15,10,4.8000,3.5167,0.7785,5.00
3.8500,0.8069,0.0000,-0.0000,0.4723,0.0000,0.0000,15.0000,0.0000,53.15,10,4.8000,3.5167,0.8069,5.00
3.8500,0.8352,0.0000,-0.0000,0.4723,0.0000,0.0000,15.0000,0.0000,53.15,10,4.8000,3.5167,0.8352,5.00
3.8700,0.8635,0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,53.15,10,4.8000,3.5167,0.8635,5.00
3.8900,0.8919,0.0000,-0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,53.15,10,4.8000,3.5167,0.8919,5.00
3.9400,0.9202,0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,38.75,6,4.8000,3.6384,0.9202,5.00
3.9400,0.9486,-0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,38.75,6,4.8000,3.6384,0.9486,5.00
3.9500,0.9769,-0.0000,-0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,38.75,6,4.8000,3.6384,0.9769,5.00
3.9700,1.0052,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,38.75,6,4.8000,3.6384,1.0052,5.00
3.9900,1.0336,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,38.75,6,4.8000,3.6384,1.0336,5.00
4.0400,1.0619,0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,40.14,7,5.1000,3.7884,1.0619,5.00
4.0400,1.0903,0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,40.14,7,5.1000,3.7884,1.0903,5.00
4.0500,1.1186,0.0000,-0.0000,2.8339,0.0000,-0.0000,15.0000,0.0000,40.14,7,5.1000,3.7884,1.1186,5.00
4.0700,1.1469,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,40.14,7,5.1000,3.7884,1.1469,5.00
4.0900,1.1753,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,40.14,7,5.1000,3.7884,1.1753,5.00
4.1400,1.2036,0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,35.37,6,4.8000,3.9384,1.2036,5.00
4.1400,1.2319,0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,35.37,6,4.8000,3.9384,1.2319,5.00
4.1500,1.2603,0.0000,-0.0000,2.8339,0.0000,-0.0000,15.0000,0.0000,35.37,6,4.8000,3.9384,1.2603,5.00
4.1700,1.2886,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,35.37,6,4.8000,3.9384,1.2886,5.00
