time_s,x,y,yaw_rad,vx,vy,omega,goal_x,goal_y,replan_ms,n_polygons,seg_len_m,min_obs_dist_m,path_len_m,lookahead_dist
3.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,10.00
3.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,10.00
3.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,10.00
3.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,10.00
3.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,81.21,9,9.9000,2.7750,0.0000,10.00
3.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,81.21,9,9.9000,2.7750,0.0000,10.00
3.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,81.21,9,9.9000,2.7750,0.0000,10.00
3.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,81.21,9,9.9000,2.7750,0.0000,10.00
3.8800,0.0140,-0.0000,0.0000,0.7010,-0.0000,0.0000,15.0000,0.0000,81.21,9,9.9000,2.7750,0.0140,10.00
3.9700,0.0421,-0.0000,0.0000,0.3116,0.0000,0.0000,15.0000,0.0000,89.97,10,9.9000,2.7750,0.0421,10.00
3.9700,0.0701,-0.0000,-0.0000,0.3116,0.0000,0.0000,15.0000,0.0000,89.97,10,9.9000,2.7750,0.0701,10.00
3.9700,0.0843,-0.0000,-0.0000,0.3116,0.0000,0.0000,15.0000,0.0000,89.97,10,9.9000,2.7750,0.0843,10.00
3.9700,0.1126,0.0000,-0.0000,0.3116,0.0000,0.0000,15.0000,0.0000,89.97,10,9.9000,2.7750,0.1126,10.00
3.9700,0.1409,0.0000,-0.0000,0.3116,0.0000,0.0000,15.0000,0.0000,89.97,10,9.9000,2.7750,0.1409,10.00
3.9900,0.1692,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,89.97,10,9.9000,2.7750,0.1692,10.00
4.0400,0.1976,0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,85.69,9,9.6000,2.9533,0.1976,10.00
4.0500,0.2117,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,85.69,9,9.6000,2.9533,0.2117,10.00
4.0500,0.2401,0.0000,0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,85.69,9,9.6000,2.9533,0.2401,10.00
4.0500,0.2542,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,85.69,9,9.6000,2.9533,0.2542,10.00
4.0700,0.2826,0.0000,0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,85.69,9,9.6000,2.9533,0.2826,10.00
4.0900,0.3109,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,85.69,9,9.6000,2.9533,0.3109,10.00
4.1600,0.3393,0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,85.14,9,9.9000,3.1033,0.3393,10.00
4.1600,0.3676,-0.0000,-0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,85.14,9,9.9000,3.1033,0.3676,10.00
4.1600,0.3959,-0.0000,-0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,85.14,9,9.9000,3.1033,0.3959,10.00
4.1700,0.4243,0.0000,-0.0000,2.8339,0.0000,0.0000,15.0000,0.0000,85.14,9,9.9000,3.1033,0.4243,10.00
4.1900,0.4526,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,85.14,9,9.9000,3.1033,0.4526,10.00
4.2900,0.4810,0.0000,0.0000,0.2834,-0.0000,0.0000,15.0000,0.0000,102.15,9,9.6000,3.2281,0.4810,10.00
4.2900,0.5093,0.0000,-0.0000,0.2834,-0.0000,0.0000,15.0000,0.0000,102.15,9,9.6000,3.2281,0.5093,10.00
4.2900,0.5376,0.0000,0.0000,0.2834,-0.0000,0.0000,15.0000,0.0000,102.15,9,9.6000,3.2281,0.5376,10.00
4.2900,0.5660,-0.0000,0.0000,0.2834,-0.0000,0.0000,15.0000,0.0000,102.15,9,9.6000,3.2281,0.5660,10.00
4.2900,0.5943,0.0000,0.0000,0.2834,-0.0000,0.0000,15.0000,0.0000,102.15,9,9.6000,3.2281,0.5943,10.00
4.3900,0.6227,0.0000,0.0000,0.2834,-0.0000,-0.0000,15.0000,0.0000,87.61,9,9.9000,3.3667,0.6227,10.00
4.3900,0.6510,0.0000,0.0000,0.2834,-0.0000,-0.0000,15.0000,0.0000,87.61,9,9.9000,3.3667,0.6510,10.00
4.3900,0.6793,0.0000,0.0000,0.2834,-0.0000,-0.0000,15.0000,0.0000,87.61,9,9.9000,3.3667,0.6793,10.00
4.3900,0.7077,-0.0000,0.0000,0.2834,-0.0000,-0.0000,15.0000,0.0000,87.61,9,9.9000,3.3667,0.7077,10.00
4.3900,0.7360,-0.0000,0.0000,0.2834,-0.0000,-0.0000,15.0000,0.0000,87.61,9,9.9000,3.3667,0.7360,10.00
4.4700,0.7644,-0.0000,0.0000,0.3542,-0.0000,-0.0000,15.0000,0.0000,74.90,8,9.9000,3.4884,0.7644,10.00
4.4700,0.7927,-0.0000,0.0000,0.3542,-0.0000,-0.0000,15.0000,0.0000,74.90,8,9.9000,3.4884,0.7927,10.00
4.4700,0.8210,-0.0000,0.0000,0.3542,-0.0000,-0.0000,15.0000,0.0000,74.90,8,9.9000,3.4884,0.8210,10.00
4.4700,0.8494,-0.0000,0.0000,0.3542,-0.0000,-0.0000,15.0000,0.0000,74.90,8,9.9000,3.4884,0.8494,10.00
4.4900,0.8777,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,74.90,8,9.9000,3.4884,0.8777,10.00
4.5800,0.9060,-0.0000,0.0000,0.3149,-0.0000,-0.0000,15.0000,0.0000,79.77,8,9.9000,3.6384,0.9060,10.00
4.5800,0.9344,-0.0000,0.0000,0.3149,-0.0000,-0.0000,15.0000,0.0000,79.77,8,9.9000,3.6384,0.9344,10.00
4.5800,0.9627,-0.0000,0.0000,0.3149,-0.0000,-0.0000,15.0000,0.0000,79.77,8,9.9000,3.6384,0.9627,10.00
4.5800,0.9911,-0.0000,0.0000,0.3149,-0.0000,-0.0000,15.0000,0.0000,79.77,8,9.9000,3.6384,0.9911,10.00
4.5900,1.0194,-0.0000,-0.0000,2.8339,0.0000,-0.0000,15.0000,0.0000,79.77,8,9.9000,3.6384,1.0194,10.00
4.6600,1.0477,-0.0000,-0.0000,0.4048,0.0000,0.0000,15.0000,0.0000,68.71,7,9.9000,3.8167,1.0477,10.00
4.6600,1.0761,-0.0000,-0.0000,0.4048,0.0000,0.0000,15.0000,0.0000,68.71,7,9.9000,3.8167,1.0761,10.00
4.6600,1.1044,-0.0000,-0.0000,0.4048,0.0000,0.0000,15.0000,0.0000,68.71,7,9.9000,3.8167,1.1044,10.00
4.6700,1.1328,-0.0000,-0.0000,2.8339,0.0000,-0.0000,15.0000,0.0000,68.71,7,9.9000,3.8167,1.1328,10.00
4.6900,1.1611,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,68.71,7,9.9000,3.8167,1.1611,10.00
4.7700,1.1894,-0.0000,0.0000,0.3542,-0.0000,0.0000,15.0000,0.0000,79.65,8,9.9000,3.9667,1.1894,10.00
4.7700,1.2178,-0.0000,0.0000,0.3542,-0.0000,0.0000,15.0000,0.0000,79.65,8,9.9000,3.9667,1.2178,10.00
4.7700,1.2461,-0.0000,0.0000,0.3542,-0.0000,0.0000,15.0000,0.0000,79.65,8,9.9000,3.9667,1.2461,10.00
4.7700,1.2745,-0.0000,0.0000,0.3542,-0.0000,0.0000,15.0000,0.0000,79.65,8,9.9000,3.9667,1.2745,10.00
4.7900,1.3028,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,79.65,8,9.9000,3.9667,1.3028,10.00
4.8500,1.3311,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,61.59,5,9.9000,4.1167,1.3311,10.00
4.8500,1.3595,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,61.59,5,9.9000,4.1167,1.3595,10.00
4.8500,1.3878,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,61.59,5,9.9000,4.1167,1.3878,10.00
4.8700,1.4162,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,61.59,5,9.9000,4.1167,1.4162,10.00
4.8900,1.4445,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,61.59,5,9.9000,4.1167,1.4445,10.00
4.9500,1.4728,-0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,57.21,6,9.9000,4.1884,1.4728,10.00
4.9600,1.5012,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,57.21,6,9.9000,4.1884,1.5012,10.00
4.9600,1.5295,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,57.21,6,9.9000,4.1884,1.5295,10.00
4.9700,1.5579,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,57.21,6,9.9000,4.1884,1.5579,10.00
4.9900,1.5862,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,57.21,6,9.9000,4.1884,1.5862,10.00
5.0500,1.6145,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,52.70,5,9.9000,4.3667,1.6145,10.00
5.0500,1.6429,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,52.70,5,9.9000,4.3667,1.6429,10.00
5.0500,1.6712,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,52.70,5,9.9000,4.3667,1.6712,10.00
5.0700,1.6995,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,52.70,5,9.9000,4.3667,1.6995,10.00
5.0900,1.7279,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,52.70,5,9.9000,4.3667,1.7279,10.00
5.1700,1.7562,-0.0000,0.0000,0.3542,-0.0000,0.0000,15.0000,0.0000,77.58,9,9.9000,4.3192,1.7562,10.00
5.1700,1.7846,-0.0000,0.0000,0.3542,-0.0000,0.0000,15.0000,0.0000,77.58,9,9.9000,4.3192,1.7846,10.00
5.1700,1.8129,-0.0000,0.0000,0.3542,-0.0000,0.0000,15.0000,0.0000,77.58,9,9.9000,4.3192,1.8129,10.00
5.1800,1.8412,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,77.58,9,9.9000,4.3192,1.8412,10.00
5.1900,1.8696,-0.0000,0.0000,2.8339,-0.0000,-0.0000,15.0000,0.0000,77.58,9,9.9000,4.3192,1.8696,10.00
5.2600,1.8979,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,63.21,7,9.9000,4.1271,1.8979,10.00
5.2600,1.9263,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,63.21,7,9.9000,4.1271,1.9263,10.00
5.2600,1.9546,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,63.21,7,9.9000,4.1271,1.9546,10.00
5.2700,1.9829,-0.0000,0.0000,2.8339,-0.0000,-0.0000,15.0000,0.0000,63.21,7,9.9000,4.1271,1.9829,10.00
5.2900,2.0113,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,63.21,7,9.9000,4.1271,2.0113,10.00
5.3600,2.0396,-0.0000,0.0000,0.4048,-0.0000,-0.0000,15.0000,0.0000,59.85,6,9.9000,3.9308,2.0396,10.00
5.3600,2.0680,-0.0000,0.0000,0.4048,-0.0000,-0.0000,15.0000,0.0000,59.85,6,9.9000,3.9308,2.0680,10.00
5.3600,2.0963,-0.0000,0.0000,0.4048,-0.0000,-0.0000,15.0000,0.0000,59.85,6,9.9000,3.9308,2.0963,10.00
5.3700,2.1246,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,59.85,6,9.9000,3.9308,2.1246,10.00
5.3900,2.1530,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,59.85,6,9.9000,3.9308,2.1530,10.00
5.4600,2.1813,-0.0000,0.0000,0.4048,-0.0000,-0.0000,15.0000,0.0000,59.98,7,9.9000,3.7537,2.1813,10.00
5.4600,2.2097,-0.0000,0.0000,0.4048,-0.0000,-0.0000,15.0000,0.0000,59.98,7,9.9000,3.7537,2.2097,10.00
5.4600,2.2380,-0.0000,0.0000,0.4048,-0.0000,-0.0000,15.0000,0.0000,59.98,7,9.9000,3.7537,2.2380,10.00
5.4700,2.2663,-0.0000,0.0000,2.8339,-0.0000,-0.0000,15.0000,0.0000,59.98,7,9.9000,3.7537,2.2663,10.00
5.4900,2.2947,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,59.98,7,9.9000,3.7537,2.2947,10.00
5.5600,2.3230,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,64.89,7,9.6000,3.5415,2.3230,10.00
5.5600,2.3513,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,64.89,7,9.6000,3.5415,2.3513,10.00
5.5600,2.3797,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,64.89,7,9.6000,3.5415,2.3797,10.00
5.5700,2.4080,-0.0000,0.0000,2.8339,-0.0000,-0.0000,15.0000,0.0000,64.89,7,9.6000,3.5415,2.4080,10.00
5.5900,2.4364,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,64.89,7,9.6000,3.5415,2.4364,10.00
5.6500,2.4647,-0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,49.79,5,9.9000,3.3653,2.4647,10.00
5.6500,2.4930,-0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,49.79,5,9.9000,3.3653,2.4930,10.00
5.6500,2.5214,-0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,49.79,5,9.9000,3.3653,2.5214,10.00
5.6700,2.5497,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,49.79,5,9.9000,3.3653,2.5497,10.00
5.6900,2.5781,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,49.79,5,9.9000,3.3653,2.5781,10.00
5.7500,2.6064,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,56.69,5,9.6000,3.2079,2.6064,10.00
5.7500,2.6347,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,56.69,5,9.6000,3.2079,2.6347,10.00
5.7500,2.6631,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,56.69,5,9.6000,3.2079,2.6631,10.00
5.7700,2.6914,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,56.69,5,9.6000,3.2079,2.6914,10.00
5.7900,2.7198,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,56.69,5,9.6000,3.2079,2.7198,10.00
5.8400,2.7481,-0.0000,0.0000,0.5668,-0.0000,0.0000,15.0000,0.0000,45.87,5,9.9000,2.9968,2.7481,10.00
5.8400,2.7764,-0.0000,0.0000,0.5668,-0.0000,0.0000,15.0000,0.0000,45.87,5,9.9000,2.9968,2.7764,10.00
5.8500,2.8048,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,45.87,5,9.9000,2.9968,2.8048,10.00
5.8700,2.8331,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,45.87,5,9.9000,2.9968,2.8331,10.00
5.8900,2.8615,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,45.87,5,9.9000,2.9968,2.8615,10.00
5.9500,2.8898,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,54.46,5,9.6000,2.8022,2.8898,10.00
5.9500,2.9181,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,54.46,5,9.6000,2.8022,2.9181,10.00
5.9500,2.9465,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,54.46,5,9.6000,2.8022,2.9465,10.00
5.9700,2.9748,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,54.46,5,9.6000,2.8022,2.9748,10.00
5.9900,3.0032,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,54.46,5,9.6000,2.8022,3.0032,10.00
6.0400,3.0315,-0.0000,0.0000,0.5668,-0.0000,-0.0000,15.0000,0.0000,41.39,4,9.9000,2.6241,3.0315,10.00
6.0400,3.0598,-0.0000,0.0000,0.5668,-0.0000,-0.0000,15.0000,0.0000,41.39,4,9.9000,2.6241,3.0598,10.00
6.0500,3.0882,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,41.39,4,9.9000,2.6241,3.0882,10.00
6.0700,3.1165,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,41.39,4,9.9000,2.6241,3.1165,10.00
6.0900,3.1448,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,41.39,4,9.9000,2.6241,3.1448,10.00
6.1400,3.1732,-0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,44.34,4,9.9000,2.4491,3.1732,10.00
6.1400,3.2015,-0.0000,-0.0000,0.5668,0.0000,-0.0000,15.0000,0.0000,44.34,4,9.9000,2.4491,3.2015,10.00
6.1500,3.2299,-0.0000,-0.0000,2.8339,0.0000,-0.0000,15.0000,0.0000,44.34,4,9.9000,2.4491,3.2299,10.00
6.1700,3.2582,-0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,44.34,4,9.9000,2.4491,3.2582,10.00
6.1900,3.2865,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,44.34,4,9.9000,2.4491,3.2865,10.00
6.2500,3.3149,-0.0000,-0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,49.94,5,9.9000,2.2374,3.3149,10.00
6.2500,3.3432,-0.0000,-0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,49.94,5,9.9000,2.2374,3.3432,10.00
6.2500,3.3716,-0.0000,-0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,49.94,5,9.9000,2.2374,3.3716,10.00
6.2700,3.3999,-0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,49.94,5,9.9000,2.2374,3.3999,10.00
6.2900,3.4282,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,49.94,5,9.9000,2.2374,3.4282,10.00
6.3300,3.4566,-0.0000,-0.0000,0.7085,0.0000,-0.0000,15.0000,0.0000,33.88,3,9.9000,2.0636,3.4566,10.00
6.3300,3.4849,-0.0000,-0.0000,0.7085,0.0000,-0.0000,15.0000,0.0000,33.88,3,9.9000,2.0636,3.4849,10.00
6.3500,3.5133,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,33.88,3,9.9000,2.0636,3.5133,10.00
6.3700,3.5416,-0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,33.88,3,9.9000,2.0636,3.5416,10.00
6.3900,3.5699,-0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,33.88,3,9.9000,2.0636,3.5699,10.00
6.4300,3.5983,-0.0000,-0.0000,0.7085,0.0000,-0.0000,15.0000,0.0000,37.96,3,9.9000,1.8910,3.5983,10.00
6.4400,3.6266,-0.0000,-0.0000,2.8339,0.0000,0.0000,15.0000,0.0000,37.96,3,9.9000,1.8910,3.6266,10.00
6.4500,3.6550,-0.0000,-0.0000,2.8339,0.0000,0.0000,15.0000,0.0000,37.96,3,9.9000,1.8910,3.6550,10.00
6.4700,3.6833,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,37.96,3,9.9000,1.8910,3.6833,10.00
6.4900,3.7116,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,37.96,3,9.9000,1.8910,3.7116,10.00
