time_s,x,y,yaw_rad,vx,vy,omega,goal_x,goal_y,replan_ms,n_polygons,seg_len_m,min_obs_dist_m,path_len_m,lookahead_dist
4.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,5.00
4.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,58.97,10,4.8000,2.7750,0.0000,5.00
4.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,58.97,10,4.8000,2.7750,0.0000,5.00
4.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,58.97,10,4.8000,2.7750,0.0000,5.00
4.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,58.97,10,4.8000,2.7750,0.0000,5.00
4.7500,0.0140,-0.0000,0.0000,1.4020,-0.0000,0.0000,15.0000,0.0000,58.97,10,4.8000,2.7750,0.0140,5.00
4.7600,0.0280,-0.0000,0.0000,1.4020,0.0000,-0.0000,15.0000,0.0000,58.97,10,4.8000,2.7750,0.0280,5.00
4.7800,0.0561,0.0000,0.0000,1.4020,0.0000,0.0000,15.0000,0.0000,58.97,10,4.8000,2.7750,0.0561,5.00
4.7900,0.0701,0.0000,0.0000,1.4051,-0.0000,0.0000,15.0000,0.0000,58.97,10,4.8000,2.7750,0.0701,5.00
4.8300,0.0843,0.0000,-0.0000,0.3532,-0.0000,-0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.0843,5.00
4.8300,0.0984,0.0000,-0.0000,0.3532,-0.0000,-0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.0984,5.00
4.8300,0.1267,0.0000,-0.0000,0.3532,-0.0000,-0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.1267,5.00
4.8400,0.1409,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.1409,5.00
4.8500,0.1551,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.1551,5.00
4.8600,0.1692,0.0000,0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.1692,5.00
4.8700,0.1834,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.1834,5.00
4.8800,0.1976,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.1976,5.00
4.8900,0.2117,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,63.08,10,4.8000,2.8451,0.2117,5.00
4.9300,0.2401,0.0000,-0.0000,0.7085,0.0000,-0.0000,15.0000,0.0000,60.89,10,4.8000,2.9867,0.2401,5.00
4.9300,0.2542,0.0000,-0.0000,0.7085,0.0000,-0.0000,15.0000,0.0000,60.89,10,4.8000,2.9867,0.2542,5.00
4.9300,0.2684,0.0000,-0.0000,0.7085,0.0000,-0.0000,15.0000,0.0000,60.89,10,4.8000,2.9867,0.2684,5.00
4.9400,0.2826,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,60.89,10,4.8000,2.9867,0.2826,5.00
4.9600,0.3109,0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,60.89,10,4.8000,2.9867,0.3109,5.00
4.9800,0.3393,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,60.89,10,4.8000,2.9867,0.3393,5.00
4.9900,0.3534,0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,60.89,10,4.8000,2.9867,0.3534,5.00
5.0300,0.3818,0.0000,0.0000,0.7085,-0.0000,0.0000,15.0000,0.0000,64.34,10,4.8000,3.1375,0.3818,5.00
5.0300,0.3959,0.0000,0.0000,0.7085,-0.0000,0.0000,15.0000,0.0000,64.34,10,4.8000,3.1375,0.3959,5.00
5.0400,0.4243,0.0000,0.0000,2.8339,-0.0000,-0.0000,15.0000,0.0000,64.34,10,4.8000,3.1375,0.4243,5.00
5.0600,0.4526,0.0000,0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,64.34,10,4.8000,3.1375,0.4526,5.00
5.0800,0.4810,0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,64.34,10,4.8000,3.1375,0.4810,5.00
5.1500,0.5093,0.0000,0.0000,0.4048,0.0000,-0.0000,15.0000,0.0000,70.82,8,4.8000,3.2442,0.5093,5.00
5.1500,0.5376,0.0000,0.0000,0.4048,0.0000,-0.0000,15.0000,0.0000,70.82,8,4.8000,3.2442,0.5376,5.00
5.1500,0.5660,0.0000,0.0000,0.4048,0.0000,-0.0000,15.0000,0.0000,70.82,8,4.8000,3.2442,0.5660,5.00
5.1600,0.5943,0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,70.82,8,4.8000,3.2442,0.5943,5.00
5.1800,0.6227,0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,70.82,8,4.8000,3.2442,0.6227,5.00
5.2400,0.6510,0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,54.17,9,4.8000,3.3792,0.6510,5.00
5.2400,0.6793,0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,54.17,9,4.8000,3.3792,0.6793,5.00
5.2400,0.7077,0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,54.17,9,4.8000,3.3792,0.7077,5.00
5.2600,0.7360,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,54.17,9,4.8000,3.3792,0.7360,5.00
5.2800,0.7644,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,54.17,9,4.8000,3.3792,0.7644,5.00
5.3300,0.7927,-0.0000,0.0000,0.5668,-0.0000,-0.0000,15.0000,0.0000,47.11,7,4.8000,3.5568,0.7927,5.00
5.3300,0.8210,-0.0000,0.0000,0.5668,-0.0000,-0.0000,15.0000,0.0000,47.11,7,4.8000,3.5568,0.8210,5.00
5.3400,0.8494,-0.0000,0.0000,2.8339,-0.0000,-0.0000,15.0000,0.0000,47.11,7,4.8000,3.5568,0.8494,5.00
5.3600,0.8777,-0.0000,-0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,47.11,7,4.8000,3.5568,0.8777,5.00
5.3800,0.9060,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,47.11,7,4.8000,3.5568,0.9060,5.00
5.4400,0.9344,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,55.00,7,4.8000,3.6701,0.9344,5.00
5.4400,0.9627,-0.0000,0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,55.00,7,4.8000,3.6701,0.9627,5.00
5.4400,0.9911,-0.0000,-0.0000,0.4723,-0.0000,-0.0000,15.0000,0.0000,55.00,7,4.8000,3.6701,0.9911,5.00
5.4600,1.0194,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,55.00,7,4.8000,3.6701,1.0194,5.00
5.4800,1.0477,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,55.00,7,4.8000,3.6701,1.0477,5.00
5.5400,1.0761,-0.0000,-0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,60.46,10,5.1000,3.8118,1.0761,5.00
5.5400,1.0903,-0.0000,0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,60.46,10,5.1000,3.8118,1.0903,5.00
5.5400,1.1044,-0.0000,0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,60.46,10,5.1000,3.8118,1.1044,5.00
5.5400,1.1328,-0.0000,0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,60.46,10,5.1000,3.8118,1.1328,5.00
5.5600,1.1611,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,60.46,10,5.1000,3.8118,1.1611,5.00
5.5800,1.1894,-0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,60.46,10,5.1000,3.8118,1.1894,5.00
5.6400,1.2178,-0.0000,-0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,53.58,9,4.8000,3.9394,1.2178,5.00
5.6400,1.2461,-0.0000,-0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,53.58,9,4.8000,3.9394,1.2461,5.00
5.6400,1.2745,-0.0000,-0.0000,0.4723,0.0000,-0.0000,15.0000,0.0000,53.58,9,4.8000,3.9394,1.2745,5.00
5.6600,1.3028,-0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,53.58,9,4.8000,3.9394,1.3028,5.00
5.6800,1.3311,-0.0000,0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,53.58,9,4.8000,3.9394,1.3311,5.00
5.7400,1.3595,-0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,52.16,8,5.1000,4.1027,1.3595,5.00
5.7400,1.3878,-0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,52.16,8,5.1000,4.1027,1.3878,5.00
5.7400,1.4162,-0.0000,0.0000,0.4723,-0.0000,0.0000,15.0000,0.0000,52.16,8,5.1000,4.1027,1.4162,5.00
5.7600,1.4445,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,52.16,8,5.1000,4.1027,1.4445,5.00
5.7800,1.4728,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,52.16,8,5.1000,4.1027,1.4728,5.00
5.8300,1.5012,-0.0000,0.0000,0.5668,-0.0000,0.0000,15.0000,0.0000,44.35,8,4.8000,4.2444,1.5012,5.00
5.8400,1.5295,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,44.35,8,4.8000,4.2444,1.5295,5.00
5.8400,1.5579,-0.0000,0.0000,2.8339,-0.0000,0.0000,15.0000,0.0000,44.35,8,4.8000,4.2444,1.5579,5.00
5.8600,1.5862,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,44.35,8,4.8000,4.2444,1.5862,5.00
5.8800,1.6145,-0.0000,0.0000,1.4170,-0.0000,-0.0000,15.0000,0.0000,44.35,8,4.8000,4.2444,1.6145,5.00
5.9500,1.6429,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,55.57,11,5.1000,4.3578,1.6429,5.00
5.9500,1.6712,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,55.57,11,5.1000,4.3578,1.6712,5.00
5.9500,1.6995,-0.0000,0.0000,0.4048,-0.0000,0.0000,15.0000,0.0000,55.57,11,5.1000,4.3578,1.6995,5.00
5.9600,1.7279,-0.0000,0.0000,2.8339,-0.0000,-0.0000,15.0000,0.0000,55.57,11,5.1000,4.3578,1.7279,5.00
5.9700,1.7421,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,55.57,11,5.1000,4.3578,1.7421,5.00
5.9900,1.7704,-0.0000,0.0000,1.4170,-0.0000,0.0000,15.0000,0.0000,55.57,11,5.1000,4.3578,1.7704,5.00
