time_s,x,y,yaw_rad,vx,vy,omega,goal_x,goal_y,replan_ms,n_polygons,seg_len_m,min_obs_dist_m,path_len_m,lookahead_dist
4.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,2.00
4.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,2.00
4.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,2.00
4.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,2.00
4.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,2.00
4.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.00,0,0.0000,0.0000,0.0000,2.00
4.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,26.40,9,1.8000,2.7750,0.0000,2.00
4.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,26.40,9,1.8000,2.7750,0.0000,2.00
4.2500,0.0280,-0.0000,0.0000,1.4020,-0.0000,0.0000,15.0000,0.0000,26.40,9,1.8000,2.7750,0.0280,2.00
4.2700,0.0561,-0.0000,0.0000,1.4020,0.0000,0.0000,15.0000,0.0000,26.40,9,1.8000,2.7750,0.0561,2.00
4.2900,0.0843,-0.0000,-0.0000,1.4089,0.0000,-0.0000,15.0000,0.0000,26.40,9,1.8000,2.7750,0.0843,2.00
4.3200,0.1126,0.0000,-0.0000,0.9431,0.0000,0.0000,15.0000,0.0000,24.05,8,1.8000,2.8532,0.1126,2.00
4.3300,0.1409,0.0000,-0.0000,2.8338,0.0000,-0.0000,15.0000,0.0000,24.05,8,1.8000,2.8532,0.1409,2.00
4.3500,0.1692,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,24.05,8,1.8000,2.8532,0.1692,2.00
4.3700,0.1976,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,24.05,8,1.8000,2.8532,0.1976,2.00
4.3900,0.2259,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,24.05,8,1.8000,2.8532,0.2259,2.00
4.4200,0.2542,0.0000,-0.0000,0.9446,0.0000,0.0000,15.0000,0.0000,26.20,9,1.8000,3.0033,0.2542,2.00
4.4300,0.2826,0.0000,-0.0000,2.8339,0.0000,0.0000,15.0000,0.0000,26.20,9,1.8000,3.0033,0.2826,2.00
4.4500,0.3109,0.0000,-0.0000,1.4170,0.0000,0.0000,15.0000,0.0000,26.20,9,1.8000,3.0033,0.3109,2.00
4.4700,0.3393,0.0000,-0.0000,1.4170,0.0000,-0.0000,15.0000,0.0000,26.20,9,1.8000,3.0033,0.3393,2.00
